Channel_Name,Channel_ID,Date_of_Publishing,Hour_GMT2,Title,Description,Tags,video_type,View_Count,Like_Count,Comment_Count,Favorite_Count,Definition,Has_Captions,Licensed_Content,Topic_Categories,Video_ID,Duration,Thumbnail_URL
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-28,11:01,Krzysztof Gonciarz: hedonizm? To już nie wróci,https://www.instagram.com/zurnalistapl/,,shorts,923,7,0,0,hd,false,True,22,cKA7T_zOvfY,PT5S,https://i.ytimg.com/vi/cKA7T_zOvfY/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-28,08:00,Krzysztof Gonciarz: mój aktywizm został użyty przeciwko mnie,https://www.instagram.com/zurnalistapl/,,shorts,3087,28,1,0,hd,false,True,22,6kOAOdNmMSs,PT41S,https://i.ytimg.com/vi/6kOAOdNmMSs/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-27,18:00,Zdjęcie z lotniska? Daria później się z tego wycofała – Krzysztof Gonciarz,https://www.instagram.com/zurnalistapl/,,shorts,8511,39,0,0,hd,false,True,22,3DyApd1oo9M,PT40S,https://i.ytimg.com/vi/3DyApd1oo9M/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-27,17:00,Krzysztof Gonciarz: trójkąt to nie zbrodnia,https://www.instagram.com/zurnalistapl/,,shorts,8470,41,11,0,hd,false,True,22,km5Y8zugNfs,PT33S,https://i.ytimg.com/vi/km5Y8zugNfs/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-27,16:00,Krzysztof Gonciarz – kim jest współtwórczyni Perseusza?,https://www.instagram.com/zurnalistapl/,,long,11806,81,0,0,hd,false,True,22,IP4wfYWs6Mc,PT1M6S,https://i.ytimg.com/vi/IP4wfYWs6Mc/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-27,15:00,Krzysztof Gonciarz – czy dostaje dziś propozycje współprac?,https://www.instagram.com/zurnalistapl/,,shorts,13199,48,0,0,hd,false,True,22,MGezSxNBwp4,PT22S,https://i.ytimg.com/vi/MGezSxNBwp4/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-27,14:00,Krzysztof Gonciarz – Wardęga ostrzegał go przed samym sobą?,https://www.instagram.com/zurnalistapl/,,long,8373,57,4,0,hd,false,True,22,VdqP-NU63II,PT1M6S,https://i.ytimg.com/vi/VdqP-NU63II/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-27,13:01,Krzysztof Gonciarz – nie jest zmęczony tą walką?,https://www.instagram.com/zurnalistapl/,,shorts,14241,44,6,0,hd,false,True,22,pOz5hrKhta0,PT21S,https://i.ytimg.com/vi/pOz5hrKhta0/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-27,12:01,Krzysztof Gonciarz o strachu po aferze,https://www.instagram.com/zurnalistapl/,,shorts,6847,54,0,0,hd,false,True,22,prb4x4CnpBs,PT21S,https://i.ytimg.com/vi/prb4x4CnpBs/default.jpg
zurnalistapl,UC9zRB_xpaSpJxofUrltx1xQ,2025-08-27,11:01,"Ludzie nie zdają sobie sprawy, co mogą mieć na nich inni – Krzysztof Gonciarz",,,long,5904,41,1,0,hd,false,True,22,e_T5pyz9BuU,PT1M14S,https://i.ytimg.com/vi/e_T5pyz9BuU/default.jpg
